BitCoin,"{'e': 'aggTrade', 'E': 1583600404558, 's': 'BTCUSDT', 'a': 236735987, 'p': '9031.11000000', 'q': '0.01227900', 'f': 258637121, 'l': 258637121, 'T': 1583600404557, 'm': True, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600404634, 's': 'BTCUSDT', 'a': 236735988, 'p': '9032.94000000', 'q': '0.06138200', 'f': 258637122, 'l': 258637122, 'T': 1583600404633, 'm': False, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600404843, 's': 'BTCUSDT', 'a': 236735989, 'p': '9032.75000000', 'q': '0.06127600', 'f': 258637123, 'l': 258637123, 'T': 1583600404841, 'm': False, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600404843, 's': 'BTCUSDT', 'a': 236735990, 'p': '9032.76000000', 'q': '0.01283900', 'f': 258637124, 'l': 258637124, 'T': 1583600404841, 'm': False, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600404888, 's': 'BTCUSDT', 'a': 236735991, 'p': '9031.25000000', 'q': '0.00220700', 'f': 258637125, 'l': 258637125, 'T': 1583600404886, 'm': True, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405006, 's': 'BTCUSDT', 'a': 236735992, 'p': '9032.56000000', 'q': '0.06039200', 'f': 258637126, 'l': 258637127, 'T': 1583600405004, 'm': False, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405103, 's': 'BTCUSDT', 'a': 236735993, 'p': '9032.52000000', 'q': '0.07770000', 'f': 258637128, 'l': 258637128, 'T': 1583600405102, 'm': False, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405165, 's': 'BTCUSDT', 'a': 236735994, 'p': '9032.52000000', 'q': '0.06107800', 'f': 258637129, 'l': 258637129, 'T': 1583600405164, 'm': False, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405187, 's': 'BTCUSDT', 'a': 236735995, 'p': '9032.52000000', 'q': '0.01000000', 'f': 258637130, 'l': 258637130, 'T': 1583600405185, 'm': False, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405200, 's': 'BTCUSDT', 'a': 236735996, 'p': '9031.30000000', 'q': '0.01731700', 'f': 258637131, 'l': 258637131, 'T': 1583600405198, 'm': True, 'M': True}",07/03/2020 20:00:04
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405269, 's': 'BTCUSDT', 'a': 236735997, 'p': '9032.35000000', 'q': '0.08192000', 'f': 258637132, 'l': 258637132, 'T': 1583600405268, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405273, 's': 'BTCUSDT', 'a': 236735998, 'p': '9032.35000000', 'q': '0.00000700', 'f': 258637133, 'l': 258637133, 'T': 1583600405271, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405312, 's': 'BTCUSDT', 'a': 236735999, 'p': '9031.35000000', 'q': '0.12766700', 'f': 258637134, 'l': 258637134, 'T': 1583600405310, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405312, 's': 'BTCUSDT', 'a': 236736000, 'p': '9031.25000000', 'q': '0.00000700', 'f': 258637135, 'l': 258637135, 'T': 1583600405310, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405320, 's': 'BTCUSDT', 'a': 236736001, 'p': '9032.16000000', 'q': '0.09046000', 'f': 258637136, 'l': 258637136, 'T': 1583600405319, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405325, 's': 'BTCUSDT', 'a': 236736002, 'p': '9032.16000000', 'q': '0.00230000', 'f': 258637137, 'l': 258637137, 'T': 1583600405323, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405340, 's': 'BTCUSDT', 'a': 236736003, 'p': '9032.48000000', 'q': '0.06058100', 'f': 258637138, 'l': 258637138, 'T': 1583600405339, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405340, 's': 'BTCUSDT', 'a': 236736004, 'p': '9032.16000000', 'q': '0.07883000', 'f': 258637139, 'l': 258637139, 'T': 1583600405339, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405348, 's': 'BTCUSDT', 'a': 236736005, 'p': '9032.16000000', 'q': '0.00000200', 'f': 258637140, 'l': 258637140, 'T': 1583600405347, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405434, 's': 'BTCUSDT', 'a': 236736006, 'p': '9030.85000000', 'q': '0.04553300', 'f': 258637141, 'l': 258637141, 'T': 1583600405432, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405528, 's': 'BTCUSDT', 'a': 236736007, 'p': '9030.91000000', 'q': '0.04649900', 'f': 258637142, 'l': 258637142, 'T': 1583600405527, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405538, 's': 'BTCUSDT', 'a': 236736008, 'p': '9030.92000000', 'q': '0.05445100', 'f': 258637143, 'l': 258637143, 'T': 1583600405536, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405551, 's': 'BTCUSDT', 'a': 236736009, 'p': '9030.84000000', 'q': '0.00221400', 'f': 258637144, 'l': 258637144, 'T': 1583600405549, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405551, 's': 'BTCUSDT', 'a': 236736010, 'p': '9030.80000000', 'q': '0.00845100', 'f': 258637145, 'l': 258637145, 'T': 1583600405549, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405607, 's': 'BTCUSDT', 'a': 236736011, 'p': '9032.41000000', 'q': '0.01870500', 'f': 258637146, 'l': 258637146, 'T': 1583600405605, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405607, 's': 'BTCUSDT', 'a': 236736012, 'p': '9032.44000000', 'q': '0.08019400', 'f': 258637147, 'l': 258637147, 'T': 1583600405605, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405686, 's': 'BTCUSDT', 'a': 236736013, 'p': '9030.96000000', 'q': '0.03186700', 'f': 258637148, 'l': 258637148, 'T': 1583600405684, 'm': True, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
BitCoin,"{'e': 'aggTrade', 'E': 1583600405777, 's': 'BTCUSDT', 'a': 236736014, 'p': '9032.44000000', 'q': '0.00754000', 'f': 258637149, 'l': 258637149, 'T': 1583600405775, 'm': False, 'M': True}",07/03/2020 20:00:05
CryptoCoin,Price,Date
